model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Pop 3 (5),alcatel,Various,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-3-5.jpg,480 x 854 pixels (~196 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.3/ 1.1 GHz,1 GB RAM
Fierce XL,alcatel,White,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-fierce-xl.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,2 GB RAM
Watch,alcatel,White| Black/Red,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-watch.jpg,240 x 204 pixels (~258 ppi pixel density),IPS LCD capacitive touchscreen  256K colors,184 MHz,8 MB RAM
GO Watch,alcatel,White| White/Pink Red| White/Blue Dark| White/Orange| White/Blue| White/Lime Green&Blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-go-watch.jpg,240 x 204 pixels (~258 ppi pixel density),Capacitive touchscreen  256K colors,184 MHz,8 MB RAM
Flash 2,alcatel,Volcanic Grey| Mica White,230,http://cdn2.gsmarena.com/vv/bigpic/alcatel-flash2.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core 1.3 GHz Cortex-A53,2 GB RAM
10.16G,alcatel,Black,20,http://cdn2.gsmarena.com/vv/bigpic/alcatel-10-16g.jpg,-,TFT,,
2007,alcatel,Black| Red| Brown,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-2007.jpg,240 x 320 pixels (~167 ppi pixel density),TFT  256K colors,,16 MB RAM
Idol 3C,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-3c-.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),2 GB RAM
Pixi 3 (10),alcatel,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-10.jpg,800 x 1280 pixels (~149 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Pixi First,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-first.jpg,480 x 800 pixels (~233 ppi pixel density),Capacitive touchscreen  16M colors,Quad-core 1.2 GHz,512 MB RAM
